Year,Geography,Product category,GeoCode,Value
2017,Alberta,"Total, all product categories",48,1.42
2017,Alberta,Construction materials,48,1.17
2017,Alberta,Electrical and electronic equipment,48,1.03
2017,Alberta,Packaging,48,1.35
2017,Alberta,Agriculture film,48,1.2
2017,Alberta,Textiles,48,1.09
2017,Alberta,Transportation vehicles,48,1.24
2017,Alberta,Other products,48,1.81
2017,British Columbia,"Total, all product categories",59,1.4
2017,British Columbia,Construction materials,59,1.17
2017,British Columbia,Electrical and electronic equipment,59,0.96
2017,British Columbia,Packaging,59,1.35
2017,British Columbia,Agriculture film,59,1.21
2017,British Columbia,Textiles,59,1.09
2017,British Columbia,Transportation vehicles,59,1.24
2017,British Columbia,Other products,59,1.82
2017,Yukon,"Total, all product categories",60,2.23
2017,Yukon,Construction materials,60,1.11
2017,Yukon,Electrical and electronic equipment,60,1.05
2017,Yukon,Packaging,60,1.36
2017,Yukon,Agriculture film,60,0.0
2017,Yukon,Textiles,60,0.98
2017,Yukon,Transportation vehicles,60,5.85
2017,Yukon,Other products,60,1.8
2017,Northwest Territories,"Total, all product categories",61,2.3
2017,Northwest Territories,Construction materials,61,1.27
2017,Northwest Territories,Electrical and electronic equipment,61,1.06
2017,Northwest Territories,Packaging,61,1.34
2017,Northwest Territories,Agriculture film,61,0.0
2017,Northwest Territories,Textiles,61,0.95
2017,Northwest Territories,Transportation vehicles,61,6.0
2017,Northwest Territories,Other products,61,1.72
2017,Nunavut,"Total, all product categories",62,2.12
2017,Nunavut,Construction materials,62,0.99
2017,Nunavut,Electrical and electronic equipment,62,1.08
2017,Nunavut,Packaging,62,1.37
2017,Nunavut,Textiles,62,1.41
2017,Nunavut,Transportation vehicles,62,4.37
2017,Nunavut,Other products,62,1.65
2017,Canadian territorial enclaves abroad,"Total, all product categories",,6.34
2017,Canadian territorial enclaves abroad,Construction materials,,7.69
2017,Canadian territorial enclaves abroad,Electrical and electronic equipment,,6.67
2017,Canadian territorial enclaves abroad,Packaging,,6.33
2017,Canadian territorial enclaves abroad,Textiles,,6.46
2017,Canadian territorial enclaves abroad,Transportation vehicles,,5.97
2017,Canadian territorial enclaves abroad,Other products,,6.4
2018,Canada,Construction materials,,1.17
2018,Canada,Electrical and electronic equipment,,0.99
2018,Canada,Electronics,,1.07
2018,Canada,Major appliances,,0.3
2018,Canada,Other electrical and electronic equipment,,1.06
2018,Canada,Packaging,,1.35
2018,Canada,Bottles,,1.36
2018,Canada,Film,,1.35
2018,Canada,Non-bottle rigid,,1.35
2018,Canada,Other packaging products,,1.35
2018,Canada,Agriculture film,,1.2
2018,Canada,Textiles,,1.09
2018,Canada,Transportation vehicles,,1.35
2018,Canada,Light-duty vehicles,,1.41
2018,Canada,Other transportation vehicles,,1.26
2018,Canada,Other products,,1.82
2018,Newfoundland and Labrador,"Total, all product categories",10,2.52
2018,Newfoundland and Labrador,Construction materials,10,1.17
2018,Newfoundland and Labrador,Electrical and electronic equipment,10,0.97
2018,Newfoundland and Labrador,Packaging,10,1.35
2018,Newfoundland and Labrador,Agriculture film,10,1.37
2018,Newfoundland and Labrador,Textiles,10,1.1
2018,Newfoundland and Labrador,Transportation vehicles,10,6.28
2018,Newfoundland and Labrador,Other products,10,1.79
2018,Prince Edward Island,"Total, all product categories",11,1.37
2018,Prince Edward Island,Construction materials,11,1.32
2018,Prince Edward Island,Electrical and electronic equipment,11,0.9
2018,Prince Edward Island,Packaging,11,1.34
2018,Prince Edward Island,Agriculture film,11,1.2
2018,Prince Edward Island,Textiles,11,1.06
2018,Prince Edward Island,Transportation vehicles,11,1.24
2018,Prince Edward Island,Other products,11,1.79
2018,Nova Scotia,"Total, all product categories",12,1.37
2018,Nova Scotia,Construction materials,12,1.18
2018,Nova Scotia,Electrical and electronic equipment,12,0.93
2018,Nova Scotia,Packaging,12,1.35
2018,Nova Scotia,Agriculture film,12,1.2
2018,Nova Scotia,Textiles,12,1.1
2018,Nova Scotia,Transportation vehicles,12,1.24
2018,Nova Scotia,Other products,12,1.8
2018,New Brunswick,"Total, all product categories",13,1.39
2018,New Brunswick,Construction materials,13,1.16
2018,New Brunswick,Electrical and electronic equipment,13,0.98
2018,New Brunswick,Packaging,13,1.35
2018,New Brunswick,Agriculture film,13,1.2
2018,New Brunswick,Textiles,13,1.09
2018,New Brunswick,Transportation vehicles,13,1.23
2018,New Brunswick,Other products,13,1.77
2018,Quebec,"Total, all product categories",24,1.39
2018,Quebec,Construction materials,24,1.17
2018,Quebec,Electrical and electronic equipment,24,0.98
2018,Quebec,Packaging,24,1.35
2018,Quebec,Agriculture film,24,1.19
2018,Quebec,Textiles,24,1.09
2018,Quebec,Transportation vehicles,24,1.23
2018,Quebec,Other products,24,1.83
2018,Ontario,"Total, all product categories",35,1.41
2018,Ontario,Construction materials,35,1.17
2018,Ontario,Electrical and electronic equipment,35,0.99
2018,Ontario,Packaging,35,1.35
2018,Ontario,Agriculture film,35,1.2
2018,Ontario,Textiles,35,1.09
2018,Ontario,Transportation vehicles,35,1.25
2018,Ontario,Other products,35,1.83
2018,Manitoba,"Total, all product categories",46,1.4
2018,Manitoba,Construction materials,46,1.17
2018,Manitoba,Electrical and electronic equipment,46,0.98
2018,Manitoba,Packaging,46,1.35
2018,Manitoba,Agriculture film,46,1.19
2018,Manitoba,Textiles,46,1.09
2018,Manitoba,Transportation vehicles,46,1.24
2018,Manitoba,Other products,46,1.84
2018,Saskatchewan,"Total, all product categories",47,1.38
2018,Saskatchewan,Construction materials,47,1.17
2018,Saskatchewan,Electrical and electronic equipment,47,0.98
2018,Saskatchewan,Packaging,47,1.35
2018,Saskatchewan,Agriculture film,47,1.2
2018,Saskatchewan,Textiles,47,1.09
2018,Saskatchewan,Transportation vehicles,47,1.24
