Year,data.Geography,data.Industry,Value
2019,data.Yukon,data.Manufacturing [BS3A0],
2015,data.Yukon,"data.Professional, scientific and technical services [BS540]",
2016,data.Yukon,"data.Professional, scientific and technical services [BS540]",
2017,data.Yukon,"data.Professional, scientific and technical services [BS540]",
2018,data.Yukon,"data.Professional, scientific and technical services [BS540]",
2019,data.Yukon,"data.Professional, scientific and technical services [BS540]",
2015,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.115909091
2016,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.077876106
2017,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.086206897
2018,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.069026549
2019,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.065
2015,data.Yukon,data.Other industries,0.001285678
2016,data.Yukon,data.Other industries,0.001582499
2017,data.Yukon,data.Other industries,0.002066023
2018,data.Yukon,data.Other industries,0.002330363
2019,data.Yukon,data.Other industries,0.002272727
2015,data.Northwest Territories,"data.Total, all industries",0.032237197
2016,data.Northwest Territories,"data.Total, all industries",0.025572449
2017,data.Northwest Territories,"data.Total, all industries",0.011434109
2018,data.Northwest Territories,"data.Total, all industries",0.010414658
2019,data.Northwest Territories,"data.Total, all industries",0.010546649
2015,data.Northwest Territories,data.Utilities [BS220],
2016,data.Northwest Territories,data.Utilities [BS220],
2017,data.Northwest Territories,data.Utilities [BS220],
2018,data.Northwest Territories,data.Utilities [BS220],
2019,data.Northwest Territories,data.Utilities [BS220],
2015,data.Northwest Territories,data.Engineering construction [BS23C],0.233333333
2016,data.Northwest Territories,data.Engineering construction [BS23C],0.196483516
2017,data.Northwest Territories,data.Engineering construction [BS23C],0.056291391
2018,data.Northwest Territories,data.Engineering construction [BS23C],0.031325301
2019,data.Northwest Territories,data.Engineering construction [BS23C],0.036990596
2015,data.Northwest Territories,data.Manufacturing [BS3A0],
2016,data.Northwest Territories,data.Manufacturing [BS3A0],
